epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1.108,0.75516,1.1341,0.77792,0.72758,0.78108,0.47068,1.1907,1.4757,1.0703,7.81E-05,7.81E-05,7.81E-05
64,1.1187,0.75751,1.136,0.7804,0.72692,0.78148,0.47071,1.1897,1.4768,1.0702,7.75E-05,7.75E-05,7.75E-05
65,1.1088,0.75217,1.1286,0.78248,0.72535,0.78189,0.47066,1.1908,1.4814,1.0709,7.68E-05,7.68E-05,7.68E-05
66,1.1061,0.74414,1.132,0.78441,0.72461,0.78253,0.47115,1.1912,1.4863,1.0713,7.61E-05,7.61E-05,7.61E-05
67,1.1064,0.74352,1.1294,0.78592,0.72467,0.78319,0.47183,1.1904,1.4775,1.0709,7.55E-05,7.55E-05,7.55E-05
68,1.1055,0.74236,1.13,0.78593,0.72523,0.78279,0.4716,1.1908,1.4745,1.0714,7.48E-05,7.48E-05,7.48E-05
69,1.1021,0.74063,1.1251,0.78658,0.72355,0.78285,0.47149,1.1913,1.4674,1.072,7.41E-05,7.41E-05,7.41E-05
70,1.092,0.73894,1.1243,0.786,0.72409,0.78329,0.47172,1.1914,1.4618,1.0722,7.34E-05,7.34E-05,7.34E-05
71,1.0853,0.7307,1.1203,0.78456,0.72727,0.78344,0.47165,1.1919,1.4588,1.0727,7.27E-05,7.27E-05,7.27E-05
72,1.0838,0.72292,1.1192,0.78246,0.73031,0.78361,0.47189,1.1917,1.4537,1.0727,7.20E-05,7.20E-05,7.20E-05
73,1.0905,0.73557,1.1208,0.78494,0.7287,0.78289,0.47174,1.1921,1.4463,1.0731,7.13E-05,7.13E-05,7.13E-05
74,1.0846,0.72132,1.1164,0.7848,0.72762,0.78267,0.47148,1.1922,1.4429,1.0731,7.06E-05,7.06E-05,7.06E-05
75,1.0667,0.71865,1.1129,0.78666,0.72788,0.78328,0.4715,1.1927,1.4357,1.0732,6.99E-05,6.99E-05,6.99E-05
76,1.0687,0.71948,1.1143,0.78514,0.72953,0.78319,0.47171,1.1921,1.4364,1.0734,6.91E-05,6.91E-05,6.91E-05
77,1.0734,0.71824,1.1129,0.78592,0.72889,0.78278,0.47215,1.1922,1.4366,1.0739,6.84E-05,6.84E-05,6.84E-05
78,1.0751,0.71673,1.1183,0.78675,0.73022,0.78337,0.47218,1.1923,1.4378,1.0744,6.77E-05,6.77E-05,6.77E-05
79,1.0723,0.70993,1.1131,0.78818,0.7306,0.78328,0.47236,1.1923,1.4332,1.0745,6.69E-05,6.69E-05,6.69E-05
80,1.0724,0.71613,1.1067,0.7893,0.7317,0.78376,0.47258,1.1924,1.4333,1.0753,6.62E-05,6.62E-05,6.62E-05
81,1.0678,0.70702,1.1095,0.78715,0.73256,0.78233,0.47244,1.1922,1.4371,1.0753,6.55E-05,6.55E-05,6.55E-05
82,1.0661,0.70418,1.1079,0.7877,0.73211,0.7829,0.47248,1.1918,1.4391,1.0752,6.47E-05,6.47E-05,6.47E-05
83,1.0601,0.70435,1.102,0.78421,0.73511,0.78301,0.47261,1.1916,1.4357,1.0755,6.40E-05,6.40E-05,6.40E-05
84,1.0559,0.70376,1.1068,0.78349,0.73557,0.7834,0.47284,1.1914,1.438,1.0756,6.32E-05,6.32E-05,6.32E-05
85,1.0558,0.69863,1.1038,0.7835,0.73547,0.78352,0.47286,1.1916,1.434,1.0756,6.24E-05,6.24E-05,6.24E-05
86,1.0443,0.69582,1.0983,0.78272,0.73518,0.78378,0.47259,1.1912,1.4291,1.0759,6.17E-05,6.17E-05,6.17E-05
87,1.0501,0.69045,1.0992,0.78163,0.73467,0.7836,0.47241,1.1907,1.4263,1.0756,6.09E-05,6.09E-05,6.09E-05
88,1.0395,0.67713,1.0932,0.78123,0.73496,0.78344,0.47304,1.1907,1.4239,1.076,6.01E-05,6.01E-05,6.01E-05
89,1.0411,0.68409,1.0979,0.78336,0.73378,0.78361,0.47294,1.1915,1.4228,1.0765,5.94E-05,5.94E-05,5.94E-05
90,1.0377,0.67908,1.0956,0.78867,0.72995,0.78372,0.47272,1.1918,1.4161,1.0768,5.86E-05,5.86E-05,5.86E-05
91,1.051,0.68377,1.0988,0.79263,0.72766,0.78335,0.47299,1.1921,1.4163,1.0772,5.78E-05,5.78E-05,5.78E-05
92,1.0392,0.67761,1.0932,0.79384,0.72627,0.78311,0.47311,1.1928,1.4108,1.0778,5.70E-05,5.70E-05,5.70E-05
93,1.0374,0.6811,1.0931,0.79174,0.72668,0.78298,0.47319,1.193,1.405,1.0779,5.63E-05,5.63E-05,5.63E-05
94,1.0275,0.67597,1.0861,0.79369,0.72813,0.7839,0.47345,1.1933,1.4022,1.0782,5.55E-05,5.55E-05,5.55E-05
95,1.0363,0.67635,1.0879,0.79421,0.72858,0.78393,0.47387,1.1945,1.3993,1.0787,5.47E-05,5.47E-05,5.47E-05
96,1.0218,0.66825,1.0879,0.79532,0.72748,0.78415,0.47383,1.1944,1.3968,1.0788,5.39E-05,5.39E-05,5.39E-05
97,1.0232,0.67013,1.0852,0.79637,0.72803,0.78459,0.47413,1.1946,1.3899,1.0791,5.31E-05,5.31E-05,5.31E-05
98,1.0122,0.65546,1.0806,0.7957,0.72812,0.78486,0.47447,1.1953,1.383,1.0794,5.24E-05,5.24E-05,5.24E-05
99,1.0248,0.66486,1.0793,0.79512,0.72854,0.78532,0.47448,1.1953,1.3863,1.0793,5.16E-05,5.16E-05,5.16E-05
100,1.016,0.66084,1.0822,0.7946,0.72845,0.78509,0.47421,1.1956,1.3848,1.0793,5.08E-05,5.08E-05,5.08E-05
101,1.0069,0.65474,1.0791,0.79052,0.73019,0.78525,0.47458,1.1957,1.3804,1.0797,5.00E-05,5.00E-05,5.00E-05
102,1.0047,0.64684,1.0768,0.79253,0.72975,0.78457,0.47481,1.1958,1.3776,1.0798,4.92E-05,4.92E-05,4.92E-05
103,0.99973,0.64811,1.0753,0.7909,0.73124,0.78462,0.47486,1.1958,1.3777,1.0803,4.84E-05,4.84E-05,4.84E-05
104,1.0044,0.64814,1.0776,0.79108,0.73083,0.78415,0.47505,1.1955,1.38,1.0805,4.76E-05,4.76E-05,4.76E-05
105,1.0015,0.64533,1.0721,0.79282,0.73124,0.78435,0.47509,1.1961,1.3819,1.0809,4.69E-05,4.69E-05,4.69E-05
106,0.99483,0.64408,1.0696,0.79066,0.73271,0.78492,0.47524,1.1965,1.3792,1.0812,4.61E-05,4.61E-05,4.61E-05
107,1.0008,0.64301,1.0728,0.79052,0.73201,0.78488,0.47513,1.1964,1.3776,1.0813,4.53E-05,4.53E-05,4.53E-05
108,0.98606,0.63574,1.0712,0.78759,0.73307,0.78427,0.47537,1.197,1.3727,1.0817,4.45E-05,4.45E-05,4.45E-05
109,0.99124,0.63951,1.0708,0.78913,0.73261,0.78398,0.47534,1.1971,1.372,1.0824,4.37E-05,4.37E-05,4.37E-05
110,0.98316,0.63278,1.065,0.79178,0.73053,0.78426,0.47568,1.1967,1.368,1.0825,4.30E-05,4.30E-05,4.30E-05
111,0.99203,0.63606,1.0668,0.78623,0.73464,0.78451,0.47543,1.1952,1.367,1.0822,4.22E-05,4.22E-05,4.22E-05
